metric,pool_avg,pool_n,Premier League_avg,La Liga_avg,Serie A_avg,Bundesliga_avg,Ligue 1_avg,Premier League_n,La Liga_n,Serie A_n,Bundesliga_n,Ligue 1_n,martim_neto
test_impact_v2_p90_sub_display,6.0001,314,5.8595,5.6822,6.1227,6.0808,6.3625,67,72,64,56,55,6.647058823529411
test_impact_v2_p90_sub_index,88.2898,314,88.0299,71.5694,94.5625,85.875,105.6545,67,72,64,56,55,63.0
test_impact_v2_start_final_third_count,11.1511,470,12.9,10.1881,11.181,12.1558,9.701,90,101,105,77,97,15
test_impact_v2_start_final_third_p90,0.6063,470,0.5878,0.547,0.5645,0.6588,0.6889,90,101,105,77,97,0.9985207100591718
threat_final_third_p90,1.0848,470,1.0913,0.9952,1.0244,1.1633,1.1749,90,101,105,77,97,1.7973372781065091
threat_final_third_passes,20.3085,470,24.0111,18.7822,20.6381,21.5325,17.134,90,101,105,77,97,27
threat_from_deep_p90,0.0565,470,0.06,0.0456,0.0562,0.0576,0.064,90,101,105,77,97,0.0
threat_from_deep_passes,1.0957,470,1.3889,0.8713,1.1333,1.2078,0.9278,90,101,105,77,97,0
threat_in_box_p90,0.4307,470,0.4524,0.3685,0.3884,0.5034,0.4632,90,101,105,77,97,0.7988165680473374
threat_in_box_passes,8.017,470,10.1333,6.9208,7.781,9.1299,6.567,90,101,105,77,97,12
threat_pass_pct,6.1128,477,6.0378,6.2524,6.0815,6.0397,6.1276,90,103,108,78,98,7.1
threat_passes_p90,2.7316,470,2.7714,2.5957,2.6764,2.7713,2.8643,90,101,105,77,97,2.729289940828403
threat_passes_p90_sub_display,6.0002,314,5.891,5.8042,5.994,6.1363,6.2583,67,72,64,56,55,5.9411764705882355
threat_passes_p90_sub_index,88.293,314,89.1791,76.7361,90.1562,87.5714,100.9091,67,72,64,56,55,51.0
vol_long_team_share_pct,14.1726,310,14.5106,14.1071,13.8078,12.9589,15.5352,66,70,64,56,54,8.1
vol_passes_team_share_pct,13.2223,310,13.2939,13.1471,12.8547,13.0125,13.8852,66,70,64,56,54,9.4
xp_activity_display,6.9008,314,6.9049,6.8949,6.8845,6.9066,6.9165,67,72,64,56,55,7.08
xp_activity_index,88.2866,314,92.2388,83.3472,87.9375,75.5536,103.3091,67,72,64,56,55,39.0
xp_archetype_builder_display,6.0,470,5.9843,6.0427,6.1018,6.2413,5.6684,90,101,105,77,97,6.85430463576159
xp_archetype_creator_display,6.0,470,6.1044,5.7906,5.8429,6.0725,6.2338,90,101,105,77,97,8.364238410596027
xp_archetype_finisher_display,6.0011,470,6.357,5.5924,5.939,6.3275,5.9047,90,101,105,77,97,7.927152317880795
xp_archetype_progressor_display,6.0,470,6.0213,5.9496,5.9303,6.1913,5.9564,90,101,105,77,97,4.271523178807946
xp_badge_threat_earned,0.0127,314,0.0299,0.0139,0.0156,0.0,0.0,67,72,64,56,55,False
